Seed,Known Acc,AUROC,Combined,Class 0 Acc,Class 1 Acc,Class 2 Acc
42,85.89642134880859,84.59036438048157,85.23839017544188,91.04691988509416,80.15873015873017,79.49519767701585
1,86.1514112371406,84.06742122124093,85.09665907910447,91.46185764443025,81.42857142857143,79.38351574715212
2024,86.55587795656379,85.01003667321034,85.77599315397411,91.28630705394191,79.04761904761905,80.99173553719008
